.1 .00001 .000001 .001 4000.
2 0 0 0 0 1 -1
39.71 47.24 0. 0.
2017 2.1 0 0 1 1
-200. 2500. 000.0
095500 101500 1500
0
1.36 65 0
1
.0 200 20 -45.0 45 0
1
-0.0 200. 39.0 55. 20. 00.0 20. 100. 20.
10
39.0 47.0
39.71 47.24  095500 .0 .0 0.0 000.0 .0 .0 0. 000.0
39.71 47.24  095500 .0 .0 0.0 000.0 .0 .0 0. 000.0
1
131
 6.41560002 33.09   15.8  0.00
 6.45520001 27.24   13.8  0.00
 6.57440000 24.03   18.4  0.00
 6.65380001 26.82   18.2  0.00
 7.24959999 25.67   17.7  0.00
 7.32900000 23.30   19.7  0.00
 7.36879998 21.49   22.4  0.00
 7.40860000 25.46   20.5  0.00
 7.48800002 24.32   19.4  0.00
 7.52760001 22.87   20.1  0.00
 7.56739998 24.74   20.4  0.00
 7.60700002 25.33   20.0  0.00
 7.68680001 22.29   18.7  0.00
 7.72640000 22.26   20.3  0.00
 7.80580001 22.77   18.0  0.00
 7.88540001 23.95   20.5  0.00
 7.96479998 25.27   21.0  0.00
 8.00440002 24.77   19.4  0.00
 8.04420000 24.00   21.0  0.00
 8.08379999 28.03   21.4  0.00
 8.12360001 22.80   20.0  0.00
 8.16339999 22.34   19.9  0.00
 8.20299998 23.19   21.2  0.00
 8.24280000 25.17   21.8  0.00
 8.28239999 25.98   22.5  0.00
 8.32220002 23.94   21.9  0.00
 8.36199999 23.71   20.2  0.00
 8.40159998 23.72   21.1  0.00
 8.48100000 24.45   20.4  0.00
 8.52080002 24.12   20.6  0.00
 8.52080002 24.66   20.7  0.00
 8.56060000 25.58   21.1  0.00
 8.60019999 24.69   19.8  0.00
 8.64000001 25.72   20.2  0.00
 8.67960000 24.52   20.7  0.00
 8.71939998 24.77   19.4  0.00
 8.75920000 24.56   20.3  0.00
 8.79880000 25.15   19.9  0.00
 8.87820001 23.48   20.9  0.00
 8.91799999 25.44   20.8  0.00
 8.95759998 30.67   22.0  0.00
 8.99740000 23.03   21.2  0.00
 9.03719998 30.34   22.0  0.00
 9.19600001 29.16   22.7  0.00
 9.23560000 27.33   21.8  0.00
 9.27539998 26.65   21.1  0.00
 9.31520000 24.63   20.9  0.00
 9.35479999 27.35   20.8  0.00
 9.39460001 24.60   20.7  0.00
 9.43420000 26.89   20.7  0.00
 9.51360002 25.85   20.3  0.00
 9.55359998 29.68   21.2  0.00
 9.59340001 25.12   20.3  0.00
 9.63300000 28.44   20.8  0.00
 9.67280002 25.60   20.3  0.00
 9.71240001 27.30   21.8  0.00
 9.75219999 23.93   20.5  0.00
 9.79200001 24.37   19.8  0.00
 9.83160000 29.96   21.9  0.00
 9.87139998 24.08   19.6  0.00
 9.95079999 24.93   19.4  0.00
 9.99039998 34.23   23.1  0.00
10.03020001 24.99   19.2  0.00
10.06999999 30.51   21.6  0.00
10.10959998 26.02   20.2  0.00
10.14940000 27.25   20.7  0.00
10.22880001 26.78   21.2  0.00
10.30819998 26.11   20.7  0.00
10.34800001 26.61   21.4  0.00
10.38760000 26.29   21.8  0.00
10.42740002 27.29   19.8  0.00
10.46700001 25.51   21.7  0.00
10.50679999 25.77   21.4  0.00
10.54639998 38.38   19.3  0.00
10.54639998 24.81   21.9  0.00
10.58620000 25.39   21.1  0.00
10.62579999 36.35   19.4  0.00
10.62579999 24.09   21.0  0.00
10.66560002 35.53   20.1  0.00
10.66560002 25.20   21.2  0.00
10.70539999 38.41   20.0  0.00
10.70539999 25.02   21.7  0.00
10.74499999 24.34   22.1  0.00
10.78480001 36.02   20.1  0.00
10.78480001 24.94   23.3  0.00
10.82440000 34.81   19.8  0.00
10.82440000 23.47   20.0  0.00
10.86419998 35.99   21.0  0.00
10.86419998 24.67   20.3  0.00
10.90380001 34.72   20.8  0.00
10.90380001 25.71   19.9  0.00
10.94359999 33.86   19.5  0.00
10.94359999 24.01   19.4  0.00
10.98340002 32.63   20.1  0.00
10.98340002 23.98   20.4  0.00
11.02300001 32.66   20.0  0.00
11.02300001 30.93   20.3  0.00
11.02300001 24.54   20.7  0.00
11.06279998 33.03   20.6  0.00
11.06279998 25.40   20.2  0.00
11.10240002 24.41   21.5  0.00
11.14220000 23.84   19.9  0.00
11.14220000 31.30   19.9  0.00
11.14220000 23.16   20.9  0.00
11.18179999 31.58   20.2  0.00
11.18179999 24.14   21.4  0.00
11.22160001 30.83   19.7  0.00
11.22160001 25.44   21.3  0.00
11.26139999 24.25   18.4  0.00
11.26139999 30.57   19.6  0.00
11.26139999 26.01   20.8  0.00
11.30099998 30.51   19.7  0.00
11.30099998 26.41   20.1  0.00
11.34080000 30.24   19.8  0.00
11.34080000 25.97   21.0  0.00
11.38039999 30.32   20.0  0.00
11.38039999 26.73   21.1  0.00
11.42020002 30.04   20.4  0.00
11.42020002 26.37   21.1  0.00
11.45999999 30.23   19.9  0.00
11.45999999 26.84   21.1  0.00
11.49980002 30.53   20.6  0.00
11.49980002 27.09   20.8  0.00
11.53960000 27.29   20.8  0.00
11.57919999 29.45   20.3  0.00
11.57919999 27.35   21.1  0.00
11.61900001 28.30   20.4  0.00
11.65860000 28.40   20.4  0.00
11.69839998 28.06   20.9  0.00
11.73820000 28.78   20.0  0.00
11.77779999 29.87   21.1  0.00
0 0                       
22                        
