
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.200   100.0 900.0 -45.0   82.8   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 5.700|x| 68.63| 75.29| 1.509| -0.128|  0.225|   1.8|  54.7|  48.2|  0.0|F2                      ||-0.980|  34.895|
| 5.800|o| 70.54| 76.39| 1.534| -0.161|  0.310|   1.0|  56.0|  47.8|  0.0|F2                      || 0.982| -57.386|
| 5.800|x| 68.72| 75.32| 1.514| -0.129|  0.226|   1.8|  54.8|  48.2|  0.0|F2                      ||-0.981|  34.849|
| 5.900|o| 70.64| 76.39| 1.540| -0.160|  0.308|   1.0|  56.1|  47.7|  0.0|F2                      || 0.982| -57.393|
| 5.900|x| 68.81| 75.34| 1.519| -0.130|  0.226|   1.7|  54.9|  48.2|  0.0|F2                      ||-0.981|  34.807|
| 6.000|o| 70.75| 76.40| 1.546| -0.158|  0.307|   1.0|  56.2|  47.6|  0.0|F2                      || 0.982| -57.400|
| 6.000|x| 68.90| 75.36| 1.524| -0.130|  0.225|   1.7|  55.0|  48.1|  0.0|F2                      ||-0.981|  34.768|
| 6.100|o| 70.86| 76.40| 1.552| -0.156|  0.306|   1.0|  56.3|  47.5|  0.0|F2                      || 0.983| -57.404|
| 6.100|x| 68.99| 75.37| 1.529| -0.131|  0.225|   1.7|  55.1|  48.1|  0.0|F2                      ||-0.982|  34.733|
| 6.200|o| 70.97| 76.40| 1.558| -0.154|  0.304|   1.0|  56.3|  47.4|  0.0|F2                      || 0.983| -57.404|
| 6.200|x| 69.09| 75.39| 1.534| -0.131|  0.224|   1.7|  55.2|  48.0|  0.0|F2                      ||-0.982|  34.700|
| 6.300|o| 71.09| 76.40| 1.564| -0.152|  0.303|   1.0|  56.4|  47.3|  0.0|F2                      || 0.983| -57.402|
| 6.300|x| 69.18| 75.41| 1.539| -0.131|  0.223|   1.6|  55.2|  47.9|  0.0|F2                      ||-0.982|  34.671|
| 6.400|o| 71.20| 76.40| 1.571| -0.150|  0.301|   1.0|  56.5|  47.2|  0.0|F2                      || 0.983| -57.400|
| 6.400|x| 69.28| 75.42| 1.544| -0.130|  0.222|   1.6|  55.3|  47.9|  0.0|F2                      ||-0.982|  34.646|
| 6.500|o| 71.32| 76.39| 1.577| -0.147|  0.300|   1.0|  56.6|  47.1|  0.0|F2                      || 0.984| -57.394|
