
 4.000     2  14.69  14.18   9.49   9.08
 4.500     2  16.64  16.14  10.84   9.80
 5.000     2  18.59  18.03  11.98  11.03
 5.500     2  20.42  19.85  13.11  12.01
 6.000     2  22.00  21.49  14.12  12.86
 6.500     2  23.32  22.75  14.15  14.37
 7.000     2  24.33  23.83  15.03  15.00
 7.500     2  25.09  24.58  15.54  15.51
 8.000     2  25.59  25.09  16.39  15.63
 8.500     2  25.91  25.40  16.64  15.73
 9.000     2  26.10  25.53  16.70  16.14
 9.500     2  26.16  25.59  16.77  16.20
10.000     2  26.10  25.59  16.77  16.20
10.500     2  26.10  25.53  16.77  16.20
11.000     2  26.03  25.53  16.77  16.20
11.500     2  26.10  25.53  16.77  16.20
12.000     2  26.10  25.59  16.83  16.26
12.500     2  26.16  25.59  16.83  16.26
13.000     2  26.16  25.59  16.77  16.26
13.500     2  25.97  25.46  16.70  16.14
14.000     2  25.65  25.15  16.51  15.95
14.500     2  25.09  24.52  16.14  15.57
15.000     2  24.20  23.64  15.57  15.00
15.500     2  23.01  22.50  14.88  14.31
16.000     2  21.68  21.12  14.06  13.49
16.500     2  20.17  19.67  13.11  12.54
17.000     2  18.72  18.15  12.23  11.66
17.500     2  17.33  16.77  11.35  10.78
18.000     2  16.01  15.44  10.53   9.96
18.500     2  14.81  14.31   9.83   9.27
19.000     2  13.87  13.30   9.20   8.64
