
 9.417     2  18.69  18.25  13.28  12.92
 9.500     2  18.69  18.25  13.20  12.63
 9.583     2  18.62  18.18  13.28  12.70
 9.667     2  18.62  18.18  12.63  12.63
 9.750     2  18.54  18.11  13.28  12.34
 9.833     2  18.54  18.11  12.63  12.05
 9.917     2  18.47  18.04  12.70  12.77
10.000     2  18.47  18.04  12.63  12.77
10.083     2      n      n  13.13  12.70
10.167     2  18.40  17.97  12.48  12.70
10.250     2  12.70  12.70  13.06  12.70
10.333     2  18.33  17.89  13.06  11.91
10.417     2  12.70   0.00  13.06  12.63
10.500     2  18.25  17.82  12.99  11.33
10.583     2  12.70   0.00  12.99  11.40
10.667     2      n      n  12.92  11.33
10.750     2      n      n  12.84  11.18
10.833     2  17.97  17.53  12.77  11.26
10.917     2  17.82  17.39  12.63  11.18
11.000     2  17.68  17.24  12.48  12.05
11.083     2  17.39  16.96  11.47  11.83
11.167     2  17.10  16.67  11.98  11.54
11.250     2  16.67  16.23  11.69  11.26
11.333     2  16.16  15.73  10.82   9.89
11.417     2  15.66   0.00  10.90  10.32
11.500     2  15.15   0.00  10.82  10.17
11.583     2  14.94   0.00  10.90  10.46
11.667     2      n      n  11.11  10.68
11.750     2      n      n  11.62  11.18
11.833     2      n      n  12.63  12.19
11.917     2      n      n  12.63  12.19
12.000     2      n      n  10.32  12.19
12.083     2      n      n  10.32  12.12
12.167     2      n      n  12.55  12.12
12.250     2      n      n  12.48  12.12
12.333     2      n      n  12.48  12.05
12.417     2      n      n  12.48  12.05
12.500     2      n      n  12.48  12.05
12.583     2      n      n  12.41  11.98
12.667     2      n      n  12.41  11.98
12.750     2      n      n  12.41  11.98
12.833     2      n      n  12.34  11.91
12.917     2      n      n  12.34  11.91
13.000     2      n      n  12.34  11.91
13.083     2      n      n  12.27  11.91
13.167     2      n      n  12.27  11.83
13.250     2      n      n  12.27  11.83
13.333     2      n      n  12.19  11.83
13.417     2      n      n  12.19  11.76
13.500     2      n      n  12.19  11.76
13.583     2      n      n  12.19  11.76
13.667     2      n      n  12.12  11.69
13.750     2      n      n  12.12  11.69
13.833     2      n      n  12.12  11.69
13.917     2      n      n  12.05  11.69
14.000     2      n      n  12.05  11.62
