
 4.000     2  12.29  11.83   8.08   7.51
 4.500     2  13.99  13.53   9.05   8.54
 5.000     2  15.69  15.22  10.08   9.57
 5.500     2  17.28  16.82  11.06  10.54
 6.000     2  18.72  18.26  11.93  11.42
 6.500     2  19.90  19.44  12.70  12.19
 7.000     2  20.88  20.42  13.32  12.81
 7.500     2  21.60  21.14  13.78  13.27
 8.000     2  22.17  21.65  14.14  13.58
 8.500     2  22.53  22.01  14.35  13.84
 9.000     2  21.96  21.50  14.09  13.53
 9.500     2  21.19  20.73  13.63  13.12
10.000     2  20.32  19.85  13.12  12.55
10.500     2  20.16  19.70  12.96  12.45
11.000     2  19.85  19.34  12.76  12.19
11.500     2  20.47  20.01  13.17  12.60
12.000     2  21.45  20.99  13.78  13.27
12.500     2  22.43  21.91  14.40  13.89
13.000     2  22.79  22.32  14.66  14.14
13.500     2  22.68  22.22  14.61  14.09
14.000     2  22.43  21.96  14.45  13.94
14.500     2  21.96  21.45  14.14  13.63
15.000     2  21.24  20.73  13.68  13.17
15.500     2  20.27  19.75  13.06  12.55
16.000     2  19.08  18.57  12.34  11.83
16.500     2  17.80  17.33  11.57  11.06
17.000     2  16.56  16.05  10.80  10.24
17.500     2  15.28  14.76  10.03   9.46
18.000     2  14.14  13.63   9.31   8.74
18.500     2  13.12  12.55   8.69   8.13
19.000     2  12.19  11.68   8.13   7.56
