
 4.000     2   9.98   9.46   6.69   6.07
 4.500     2  11.26  10.75   7.46   6.89
 5.000     2  12.55  12.04   8.23   7.66
 5.500     2  13.73  13.22   8.95   8.38
 6.000     2  14.81  14.25   9.62   9.05
 6.500     2  15.69  15.12  10.13   9.57
 7.000     2  16.36  15.84  10.60  10.03
 7.500     2  16.87  16.36  10.96  10.34
 8.000     2  17.28  16.72  11.16  10.60
 8.500     2  21.40  20.88  13.73  13.17
 9.000     2  20.01  19.44  12.91  12.29
 9.500     2  18.36  17.80  11.88  11.32
10.000     2  18.31  17.80  11.83  11.26
10.500     2  16.92  16.36  10.60  10.03
11.000     2  17.90  17.38  11.32  10.70
11.500     2  19.85  19.34  12.60  12.04
12.000     2  21.65  21.14  13.84  13.27
12.500     2  21.71  21.14  13.94  13.37
13.000     2  21.65  21.14  13.94  13.37
13.500     2  21.55  20.99  13.84  13.27
14.000     2  21.24  20.68  13.63  13.06
14.500     2  20.68  20.16  13.32  12.76
15.000     2  19.90  19.39  12.81  12.29
15.500     2  18.93  18.36  12.19  11.62
16.000     2  17.74  17.23  11.47  10.96
16.500     2  16.51  16.00  10.75  10.18
17.000     2  15.28  14.76   9.98   9.41
17.500     2  14.14  13.58   9.26   8.69
18.000     2  13.06  12.50   8.59   8.02
18.500     2  12.09  11.57   8.02   7.46
19.000     2  11.32  10.75   7.51   6.94
