
 4.000     2  12.81  12.29   8.26   7.82
 4.500     2  14.50  13.99   9.10   8.85
 5.000     2  16.15  15.64   9.93   9.88
 5.500     2  17.69  17.18  10.93  10.80
 6.000     2  19.03  18.52  11.80  11.08
 6.500     2  20.16  19.65  12.50  12.34
 7.000     2  21.04  20.52  13.48  12.63
 7.500     2  21.76  21.19  13.89  13.37
 8.000     2  22.22  21.71  14.20  13.55
 8.500     2  22.48  21.96  14.40  13.78
 9.000     2  21.96  21.40  14.09  13.53
 9.500     2  21.14  20.63  13.63  13.06
10.000     2  20.27  19.75  13.12  12.55
10.500     2  20.21  19.70  13.01  12.45
11.000     2  19.80  19.24  12.70  12.14
11.500     2  20.42  19.85  13.12  12.55
12.000     2  21.35  20.83  13.73  13.17
12.500     2  22.27  21.76  14.30  13.73
13.000     2  22.63  22.07  14.50  13.99
13.500     2  22.48  21.96  14.32  13.89
14.000     2  22.12  21.60  14.07  13.68
14.500     2  21.60  21.04  13.89  13.32
15.000     2  20.78  20.27  13.37  12.81
15.500     2  19.75  19.18  12.70  12.19
16.000     2  18.52  18.00  11.98  11.42
16.500     2  17.23  16.72  11.21  10.65
17.000     2  15.94  15.43  10.39   9.82
17.500     2  14.76  14.20   9.67   9.10
18.000     2  13.63  13.06   9.00   8.38
18.500     2  12.65  12.09   8.38   7.77
19.000     2  11.78  11.21   7.82   7.25
