
 4.000     2  11.37  10.80   7.51   6.94
 4.500     2  12.86  12.29   8.44   7.82
 5.000     2  14.30  13.78   9.31   8.74
 5.500     2  15.64  15.12  10.13   9.57
 6.000     2  16.87  16.30  10.85  10.34
 6.500     2  17.85  17.33  11.52  10.96
 7.000     2  18.62  18.10  11.98  11.42
 7.500     2  19.24  18.72  12.40  11.83
 8.000     2  19.65  19.13  12.65  12.09
 8.500     2  21.91  21.40  14.04  13.48
 9.000     2  21.24  20.68  13.63  13.06
 9.500     2  20.42  19.90  13.17  12.60
10.000     2  20.42  19.85  13.12  12.55
10.500     2  19.70  19.18  12.29  11.73
11.000     2  20.16  19.65  12.65  12.09
11.500     2  21.14  20.63  13.37  12.76
12.000     2  22.07  21.55  14.09  13.53
12.500     2  22.12  21.60  14.20  13.68
13.000     2  22.12  21.55  14.20  13.63
13.500     2  21.96  21.45  14.09  13.53
14.000     2  21.65  21.14  13.89  13.37
14.500     2  21.09  20.57  13.58  13.01
15.000     2  20.32  19.80  13.06  12.55
15.500     2  19.29  18.77  12.45  11.88
16.000     2  18.10  17.59  11.73  11.16
16.500     2  16.82  16.30  10.96  10.39
17.000     2  15.58  15.07  10.18   9.62
17.500     2  14.40  13.89   9.46   8.90
18.000     2  13.32  12.76   8.80   8.18
18.500     2  12.34  11.78   8.18   7.61
19.000     2  11.52  10.96   7.66   7.05
