  265.40 10.943  265.40 10.944  265.40 10.944  265.40 10.944  265.40 10.944
  268.56 10.936  268.56 10.936  268.56 10.937  268.56 10.936  268.56 10.936
  271.73 10.921  271.73 10.921  271.73 10.921  271.73 10.921  271.73 10.920
  274.90 10.898  274.90 10.898  274.90 10.898  274.90 10.898  274.90 10.897
  278.07 10.868  278.07 10.869  278.07 10.868  278.07 10.868  278.07 10.867
  281.23 10.832  281.23 10.832  281.23 10.832  281.23 10.831  281.23 10.830
  284.40 10.790  284.40 10.790  284.40 10.789  284.40 10.788  284.40 10.787
  287.57 10.741  287.57 10.741  287.57 10.741  287.57 10.740  287.57 10.739
  290.74 10.687  290.74 10.687  290.74 10.686  290.74 10.686  290.74 10.684
  293.90 10.628  293.90 10.628  293.90 10.627  293.90 10.626  293.90 10.625
  297.07 10.565  297.07 10.564  297.07 10.563  297.07 10.562  297.07 10.561
  300.24 10.496  300.24 10.496  300.24 10.495  300.24 10.494  300.24 10.493
  303.41 10.424  303.41 10.424  303.41 10.423  303.41 10.422  303.41 10.420
  306.58 10.348  306.58 10.348  306.58 10.347  306.58 10.346  306.58 10.344
  309.74 10.269  309.74 10.268  309.74 10.267  309.74 10.266  309.74 10.265
  312.91 10.187  312.91 10.186  312.91 10.185  312.91 10.184  312.91 10.182
  316.08 10.102  316.08 10.101  316.08 10.100  316.08 10.099  316.08 10.097
  319.25 10.014  319.25 10.014  319.25 10.012  319.25 10.011  319.25 10.009
  322.41  9.925  322.41  9.924  322.41  9.923  322.41  9.921  322.41  9.920
  325.58  9.833  325.58  9.832  325.58  9.831  325.58  9.830  325.58  9.828
  328.75  9.740  328.75  9.739  328.75  9.738  328.75  9.736  328.75  9.735
  331.92  9.645  331.92  9.644  331.92  9.643  331.92  9.642  331.92  9.640
  335.08  9.549  335.08  9.549  335.08  9.547  335.08  9.546  335.08  9.544
  338.25  9.453  338.25  9.452  338.25  9.450  338.25  9.449  338.25  9.447
  341.42  9.355  341.42  9.354  341.42  9.353  341.42  9.351  341.42  9.350
  344.59  9.257  344.59  9.256  344.59  9.255  344.59  9.253  344.59  9.251
  347.75  9.158  347.75  9.157  347.75  9.156  347.75  9.154  347.75  9.153
  350.92  9.059  350.92  9.058  350.92  9.057  350.92  9.055  350.92  9.054
  354.09  8.960  354.09  8.959  354.09  8.958  354.09  8.956  354.09  8.954
  357.26  8.861  357.26  8.860  357.26  8.859  357.26  8.857  357.26  8.855
  360.42  8.762  360.42  8.761  360.42  8.760  360.42  8.758  360.42  8.756
  363.59  8.663  363.59  8.662  363.59  8.661  363.59  8.659  363.59  8.658
