  290.72  8.703  290.72  9.357  290.72  9.948  290.72 10.461  290.72 10.913
  294.26  8.727  294.26  9.373  294.26  9.960  294.26 10.477  294.26 10.944
  297.80  8.736  297.80  9.374  297.80  9.957  297.80 10.476  297.80 10.956
  301.34  8.733  301.34  9.366  301.34  9.948  301.34 10.467  301.34 10.952
  304.88  8.724  304.88  9.353  304.88  9.931  304.88 10.451  304.88 10.940
  308.42  8.709  308.42  9.333  308.42  9.908  308.42 10.427  308.42 10.921
  311.96  8.689  311.96  9.308  311.96  9.879  311.96 10.397  311.96 10.895
  315.50  8.664  315.50  9.278  315.50  9.845  315.50 10.361  315.50 10.861
  319.04  8.634  319.04  9.242  319.04  9.805  319.04 10.319  319.04 10.821
  322.58  8.600  322.58  9.202  322.58  9.759  322.58 10.271  322.58 10.775
  326.12  8.561  326.12  9.157  326.12  9.710  326.12 10.219  326.12 10.723
  329.66  8.519  329.66  9.108  329.66  9.655  329.66 10.161  329.66 10.665
  333.20  8.473  333.20  9.055  333.20  9.597  333.20 10.099  333.20 10.603
  336.74  8.423  336.74  8.999  336.74  9.535  336.74 10.033  336.74 10.536
  340.28  8.370  340.28  8.939  340.28  9.469  340.28  9.964  340.28 10.464
  343.82  8.314  343.82  8.877  343.82  9.401  343.82  9.891  343.82 10.389
  347.36  8.256  347.36  8.811  347.36  9.329  347.36  9.814  347.36 10.310
  350.90  8.195  350.90  8.743  350.90  9.255  350.90  9.735  350.90 10.228
  354.44  8.132  354.44  8.673  354.44  9.178  354.44  9.654  354.44 10.143
  357.98  8.067  357.98  8.601  357.98  9.099  357.98  9.570  357.98 10.056
  361.52  8.000  361.52  8.527  361.52  9.019  361.52  9.484  361.52  9.966
  365.06  7.931  365.06  8.451  365.06  8.937  365.06  9.396  365.06  9.874
  368.60  7.861  368.60  8.374  368.60  8.853  368.60  9.307  368.60  9.780
  372.14  7.790  372.14  8.295  372.14  8.768  372.14  9.216  372.14  9.685
  375.68  7.717  375.68  8.216  375.68  8.682  375.68  9.125  375.68  9.589
  379.22  7.644  379.22  8.136  379.22  8.595  379.22  9.032  379.22  9.491
  382.76  7.570  382.76  8.055  382.76  8.508  382.76  8.939  382.76  9.393
  386.30  7.495  386.30  7.973  386.30  8.420  386.30  8.845  386.30  9.294
  389.84  7.420  389.84  7.891  389.84  8.332  389.84  8.751  389.84  9.194
  393.38  7.345  393.38  7.809  393.38  8.243  393.38  8.657  393.38  9.095
  396.92  7.269  396.92  7.727  396.92  8.154  396.92  8.562  396.92  8.995
  400.46  7.193  400.46  7.644  400.46  8.066  400.46  8.468  400.46  8.895
