
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 22:02:08.368   4.99600000   4995.99997   0.62  -25.9   51.7  28.0 26.40  352.1  1136.6  352.72   57.23   37.43  2348.9  353.71   68.01   33.76  3688.2  355.49   79.90   25.61    1.2     79328.368     13.50   47.10740   39.80800  "Undefined"       0.0       -0.03  0.00000000
04.04.2019 22:02:08.368   4.99600000   4995.99997   0.62  -25.9   51.7  28.0 20.40  352.8  1343.8  353.37   59.09   37.11  2727.2  354.37   71.39   32.47     0.0  352.80    0.00    0.00    1.2     79328.368     13.50   47.10740   39.80800  "Undefined"       0.0       -0.03  0.00000000
04.04.2019 22:02:19.453   4.99600000   4995.99998   0.46  -35.9   42.9  28.0 25.80  351.4  1151.8  351.99   57.34   37.15  2369.8  353.03   68.14   33.00  3689.1  354.91   79.80   23.88    1.4     79339.453     13.50   47.10740   39.80800  "Undefined"       0.0       -0.02  0.00000000
04.04.2019 22:02:30.506   4.99600000   4996.00000   0.55  -31.4   45.3  28.0 29.40  351.4  1062.6  352.06   56.55   37.42  2223.5  353.15   66.86   33.85     0.0  351.37    0.00    0.00    1.2     79350.506     13.50   47.10740   39.80800  "Undefined"      62.0        0.00  0.00000000
04.04.2019 22:02:41.942   4.99600000   4995.99994   0.62  -27.0   50.5  28.0 21.00  352.8  1318.9  353.36   58.87   37.17  2681.9  354.35   70.99   32.71     0.0  352.79    0.00    0.00    1.2     79361.942     13.50   47.10740   39.80800  "Undefined"       0.0       -0.06  0.00000000
04.04.2019 22:02:53.388   4.99600000   4996.00002   0.55  -34.1   44.7  28.0 30.60  351.4  1038.9  352.07   56.34   37.49  2195.4  353.20   66.62   34.02     0.0  351.36    0.00    0.00    1.4     79373.388     13.50   47.10740   39.80800  "Undefined"      63.3        0.02  0.00000000
04.04.2019 22:03:05.522   4.99600000   4995.99993   0.53  -31.3   46.9  28.0 25.80  351.4  1151.8  352.00   57.34   37.15  2369.9  353.04   68.14   33.01  3689.3  354.91   79.81   23.90    1.5     79385.522     13.50   47.10740   39.80800  "Undefined"       0.0       -0.07  0.00000000
04.04.2019 22:03:15.862   4.99600000   4995.99993   0.62  -27.3   50.2  28.0 23.40  352.8  1229.9  353.36   58.08   37.40  2520.8  354.32   69.57   33.53  3869.4  356.08   81.55   24.40    1.2     79395.862     13.50   47.10740   39.80800  "Undefined"       0.0       -0.07  0.00000000
04.04.2019 22:03:26.236   4.99600000   4995.99995   0.58  -28.1   49.7  28.0 21.00  352.8  1318.8  353.35   58.87   37.17  2681.8  354.34   70.99   32.70     0.0  352.78    0.00    0.00    1.2     79406.236     13.50   47.10740   39.80800  "Undefined"       0.0       -0.05  0.00000000
04.04.2019 22:03:37.308   4.99600000   4995.99996   0.55  -34.3   44.5  28.0 28.20  351.4  1089.4  352.03   56.79   37.34  2263.6  353.09   67.21   33.60     0.0  351.36    0.00    0.00    1.3     79417.308     13.50   47.10740   39.80800  "Undefined"      62.6       -0.04  0.00000000
