
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 06:59:59.567   4.99600000   4996.00002   0.55  -43.0   49.1  28.0 17.40  352.8   648.1  352.80   53.02   38.50  1314.2  352.86   58.94   36.88  2022.5  352.97   65.21   34.48    1.2     25199.567     13.50   47.24000   39.71000  "Undefined"       0.0        0.02  0.00000000
04.04.2019 07:00:10.131   4.99600000   4996.00007   0.46  -46.3   46.5  28.0 18.00  352.8   640.5  352.82   52.95   38.52  1307.0  352.86   58.88   36.90  2069.9  352.98   65.63   34.28    1.3     25210.131     13.50   47.24000   39.71000  "Undefined"       0.0        0.07  0.00000000
04.04.2019 07:00:21.411   4.99600000   4995.81430   0.18  -89.9    7.1  28.0 27.00  357.1   481.5  357.05   51.56   39.35   970.6  356.98   55.96   38.89     0.0  357.13    0.00    0.00    1.7     25221.411     13.50   47.24000   39.71000  "Undefined"      63.6     -185.70  0.00000000
04.04.2019 07:00:21.411   4.99600000   4995.99999   0.31  -46.9   45.6  28.0 18.00  354.9   638.6  354.93   52.96   38.87  1294.9  354.95   58.83   37.74  1991.4  355.01   65.04   36.07    1.2     25221.411     13.50   47.24000   39.71000  "Undefined"       0.0       -0.01  0.00000000
04.04.2019 07:00:34.122   4.99600000   4995.99997   0.46  -49.6   43.2  28.0 15.00  354.3   704.0  354.29   53.54   38.65  1414.1  354.35   59.88   37.23  2133.9  354.46   66.28   35.18    1.4     25234.122     13.50   47.24000   39.71000  "Undefined"       0.0       -0.03  0.00000000
04.04.2019 07:00:44.705   4.99600000   4995.99994   0.62  -40.9   51.1  28.0 10.80  352.8   879.1  352.87   55.08   38.00  1760.9  353.00   62.90   35.52  2646.1  353.23   70.71   31.43    1.2     25244.705     13.50   47.24000   39.71000  "Undefined"      63.0       -0.06  0.00000000
04.04.2019 07:00:55.268   4.99600000   4995.99995   0.58  -38.4   53.5  28.0  8.40  352.8  1032.1  352.89   56.44   37.64  2064.2  353.05   65.59   34.36  3094.3  353.40   74.61   28.05    1.2     25255.268     13.50   47.24000   39.71000  "Undefined"       0.0       -0.05  0.00000000
04.04.2019 07:01:05.803   4.99600000   4995.99989   0.62  -39.8   50.2  28.0 10.20  353.5   912.7  353.58   55.39   38.10  1826.8  353.70   63.52   35.72  2742.7  353.93   71.62   31.67    1.1     25265.803     13.50   47.24000   39.71000  "Undefined"      62.5       -0.11  0.00000000
04.04.2019 07:01:18.501   4.99600000   4995.99991   0.49  -42.4   50.2  28.0 10.80  353.5   878.9  353.56   55.09   38.17  1759.9  353.67   62.93   35.92  2643.5  353.89   70.75   32.23    1.2     25278.501     13.50   47.24000   39.71000  "Undefined"       0.0       -0.09  0.00000000
04.04.2019 07:01:29.514   4.99600000   4995.99997   0.24  -46.7   40.9  28.0  8.40  354.2  1031.7  354.29   56.46   38.04  2062.7  354.42   65.65   35.40  3092.0  354.70   74.75   30.28    1.2     25289.514     13.50   47.24000   39.71000  "Undefined"       0.0       -0.03  0.00000000
