
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 01:00:04.495   4.99600000   4995.99996   0.27  -42.2   39.1  28.0 28.80  355.7     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00    1.3      3604.495     13.50   47.24000   39.71000  "Undefined"       0.0       -0.04  0.00000000
04.04.2019 01:00:15.023   4.99600000   4995.99996   0.24  -41.2   38.4  28.0 28.20  355.7     0.0  355.70    0.00    0.00     0.0  355.70    0.00    0.00     0.0  355.70    0.00    0.00    1.2      3615.023     13.50   47.24000   39.71000  "Undefined"       0.0       -0.04  0.00000000
04.04.2019 01:00:25.974   4.99600000   4996.00001   0.11  -44.2   38.8  28.0 27.60  355.7     0.0  355.67    0.00    0.00     0.0  355.67    0.00    0.00     0.0  355.67    0.00    0.00    1.3      3625.974     13.50   47.24000   39.71000  "Undefined"       0.0        0.01  0.00000000
04.04.2019 01:00:36.148   4.99600000   4995.99998   0.11  -45.2   37.9  28.0 27.60  355.7     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00    1.3      3636.148     13.50   47.24000   39.71000  "Undefined"       0.0       -0.02  0.00000000
04.04.2019 01:00:46.325   4.99600000   4995.85283   0.24  -78.9    2.7  28.0 27.60  355.7     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00    1.5      3646.325     13.50   47.24000   39.71000  "Undefined"       0.0     -147.17  0.00000000
04.04.2019 01:00:46.325   4.99600000   4995.99995   0.20  -43.4   41.6  28.0 26.40  355.7     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00    1.2      3646.325     13.50   47.24000   39.71000  "Undefined"      62.7       -0.05  0.00000000
04.04.2019 01:00:58.300   4.99600000   4996.00004   0.18  -45.1   35.9  28.0 27.00  355.7     0.0  355.70    0.00    0.00     0.0  355.70    0.00    0.00     0.0  355.70    0.00    0.00    1.3      3658.300     13.50   47.24000   39.71000  "Undefined"       0.0        0.04  0.00000000
04.04.2019 01:01:08.479   4.99600000   4995.99995   0.11  -43.5   39.5  28.0 27.60  355.7     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00    1.3      3668.479     13.50   47.24000   39.71000  "Undefined"       0.0       -0.05  0.00000000
04.04.2019 01:01:20.456   4.99600000   4995.99994   0.11  -45.3   37.7  28.0 28.80  355.7     0.0  355.67    0.00    0.00     0.0  355.67    0.00    0.00     0.0  355.67    0.00    0.00    1.3      3680.456     13.50   47.24000   39.71000  "Undefined"       0.0       -0.06  0.00000000
04.04.2019 01:01:31.517   4.99600000   4995.99989   0.11  -45.4   35.6  28.0 28.20  355.0     0.0  354.97    0.00    0.00     0.0  354.97    0.00    0.00     0.0  354.97    0.00    0.00    1.3      3691.517     13.50   47.24000   39.71000  "Undefined"       0.0       -0.11  0.00000000
