 18.19 13.25 3703.44  -19.57 F2F2F2          
 45.11 44.67  467.80  -11.79 F2              
 45.11 43.41  962.13  -10.99 F2F2            
 45.11 40.99 1512.37  -10.01 F2F2F2          
 29.45 29.19  719.86  -15.29 F2              
 29.45 27.79 1488.73  -14.74 F2F2            
 29.45 24.89 2390.60  -13.95 F2F2F2          
 22.52 21.85  916.49   -6.25 F2              
 22.52 19.33 1951.71   -5.78 F2F2            
 22.52 14.39 3373.65   -5.08 F2F2F2          
 14.38 13.23 1328.48  -12.98 F2              
 14.38  9.87 2918.21  -12.50 F2F2            
 14.38  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00  9.87 2918.21  -12.50 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 Es              
  0.00  9.87 2918.21  -12.50 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00  9.87 2918.21  -12.50 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00                 
  0.00  9.87 2918.21  -12.50 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 Es              
  0.00  9.87 2918.21  -12.50 F2F2            
  0.00  0.00    0.00    0.00                 
 18.25 17.16 1107.08   -3.27 F2              
 18.25 13.64 2428.35   -2.83 F2F2            
 18.25  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00 13.64 2428.35   -2.83 F2F2            
  0.00  0.00    0.00    0.00                 
 43.80 43.24  485.92   -7.00 F2              
 43.80 41.75 1004.09   -6.26 F2F2            
 43.80 38.94 1591.12   -5.36 F2F2F2          
 19.90 19.03 1023.10   -4.76 F2              
 19.90 16.00 2210.99   -4.31 F2F2            
 19.90 10.04 3993.94   -3.61 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 16.00 2210.99   -4.31 F2F2            
  0.00 10.04 3993.94   -3.61 F2F2F2          
 11.40  9.12 1626.53   -7.18 F2              
 11.40  0.00    0.00    0.00                 
 11.40 10.04 3993.94   -3.61 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00  0.00    0.00    0.00                 
  0.00 10.04 3993.94   -3.61 F2F2F2          
 47.51 46.90  440.65   -6.14 F2              
 47.51 45.44  909.67   -5.32 F2F2            
 47.51 42.75 1436.36   -4.36 F2F2F2          
 21.37 20.64  959.77   -5.95 F2              
 21.37 17.95 2054.37   -5.49 F2F2            
 21.37 12.66 3605.16   -4.79 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 17.95 2054.37   -5.49 F2F2            
  0.00 12.66 3605.16   -4.79 F2F2F2          
 43.47 42.94  489.87   -8.11 F2              
 43.47 41.49 1011.50   -7.36 F2F2            
 43.47 38.74 1601.30   -6.45 F2F2F2          
 43.75 43.23  486.14   -8.60 F2              
 43.75 41.81 1003.25   -7.85 F2F2            
 43.75 39.10 1586.59   -6.93 F2F2F2          
 40.00 38.59  546.11   40.52 F2              
 40.00 36.41 1146.80   40.69 F2F2            
 40.00 33.49 1841.41   40.72 F2F2F2          
 37.19 36.82  578.01  -12.40 F2              
 37.19 35.45 1192.88  -11.74 F2F2            
 37.19 32.70 1894.73  -10.89 F2F2F2          
 66.92 66.48  241.66  -17.56 F2              
 66.92 65.59  493.65  -15.74 F2F2            
 66.92 64.06  763.96  -13.74 F2F2F2          
 32.57 31.61  666.88    9.52 F2              
 32.57 29.21 1410.28    9.96 F2F2            
 32.57 24.82 2344.90   10.40 F2F2F2          
 21.78 21.05  944.63   -5.35 F2              
 21.78 18.37 2021.26   -4.89 F2F2            
 21.78 13.10 3539.65   -4.20 F2F2F2          
 44.98 44.46  470.48   -8.98 F2              
 44.98 43.08  970.10   -8.20 F2F2            
 44.98 40.45 1531.06   -7.25 F2F2F2          
 45.00 44.41  471.27   -6.28 F2              
 45.00 42.91  973.99   -5.51 F2F2            
 45.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 42.91  973.99   -5.51 F2F2            
  0.00 40.10 1542.65   -4.59 F2F2F2          
 39.80 39.27  540.65   -7.36 F2              
 39.80 37.72 1119.59   -6.68 F2F2            
 39.80 34.70 1785.07   -5.84 F2F2F2          
 13.24 11.46 1440.30   -6.28 F2              
 13.24  0.00    0.00    0.00                 
 13.24 34.70 1785.07   -5.84 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00  0.00    0.00    0.00                 
  0.00 34.70 1785.07   -5.84 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00  0.00    0.00    0.00                 
  0.00 34.70 1785.07   -5.84 F2F2F2          
 16.43 15.22 1207.62   -5.77 F2              
 16.43 11.45 2676.41   -5.31 F2F2            
 16.43  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00 11.45 2676.41   -5.31 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00 11.45 2676.41   -5.31 F2F2            
  0.00  0.00    0.00    0.00                 
 29.11 28.64  732.00   -8.69 F2              
 29.11 26.80 1529.55   -8.15 F2F2            
 29.11 23.11 2506.70   -7.40 F2F2F2          
 19.68 18.94 1029.54   -8.46 F2              
 19.68 16.21 2205.86   -7.99 F2F2            
 19.68 10.87 3903.34   -7.24 F2F2F2          
 19.00 18.12 1064.63   -6.46 F2              
 19.00 15.08 2302.00   -6.00 F2F2            
 19.00  9.11 4178.46   -5.26 F2F2F2          
 17.46 16.50 1143.10   -8.27 F2              
 17.46 13.32 2483.49   -7.80 F2F2            
 17.46  0.00    0.00    0.00                 
 18.92 18.02 1069.09   -6.06 F2              
 18.92 14.92 2315.41   -5.60 F2F2            
 18.92  8.83 4221.77   -4.87 F2F2F2          
 66.03 64.50  257.14   55.92 F2              
 66.03 62.57  539.56   55.83 F2F2            
 66.03 60.22  856.60   55.61 F2F2F2          
 27.73 28.41  742.80  -47.21 F2              
 27.73 28.88 1468.75  -46.82 F2F2            
 27.73 29.13 2188.14  -46.35 F2F2F2          
 43.72 43.05  488.36   -2.90 F2              
 43.72 41.39 1012.57   -2.19 F2F2            
 43.72 38.33 1613.03   -1.35 F2F2F2          
 38.76 38.32  554.94  -10.47 F2              
 38.76 36.89 1146.56   -9.80 F2F2            
 38.76 34.05 1822.51   -8.93 F2F2F2          
 18.35 17.44 1096.63   -7.36 F2              
 18.35 14.36 2374.21   -6.90 F2F2            
 18.35  0.00    0.00    0.00                 
 36.26 35.56  598.02   -0.51 F2              
 36.26 33.62 1249.73    0.07 F2F2            
 36.26 29.90 2029.57    0.76 F2F2F2          
 38.56 37.89  561.06   -2.08 F2              
 38.56 36.08 1168.43   -1.45 F2F2            
 38.56 32.63 1882.18   -0.71 F2F2F2          
 45.43 46.41  447.87 -123.24 F2              
 45.43 46.97  883.37 -123.40 F2F2            
 45.43 47.30 1315.69 -123.52 F2F2F2          
 48.79 49.19  413.66 -177.10 F2              
 48.79 49.64  820.63 -177.64 F2F2            
 48.79 50.44 1221.70 -178.12 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 49.64  820.63 -177.64 F2F2            
  0.00 50.44 1221.70 -178.12 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 49.64  820.63 -177.64 F2F2            
  0.00 50.44 1221.70 -178.12 F2F2F2          
  0.00  0.00    0.00    0.00 E               
