.1 .00001 .000001 .001 4000.
2 0 0 0 0 1 -1
39.71 47.24 0. 0.
2017 2.1 0 0 1 1
-200. 2500. 000.0
102000 111500 1500
0
1.36 65 0
1
.0 200 20 -45.0 45 0
1
-0.0 200. 39.0 55. 20. 00.0 20. 100. 20.
10
39.0 47.0
39.71 47.24  102000 .0 .0 0.0 000.0 .0 .0 0. 000.0
39.71 47.24  102000 .0 .0 0.0 000.0 .0 .0 0. 000.0
2
104
 4.98520003 40.59   18.2     0.0
 5.06460000 41.23   18.2     0.0
 5.14400001 35.48   18.1     0.0
 5.18380003 33.84   20.8     0.0
 5.22340002 40.03   19.7     0.0
 5.26320000 38.09   20.6     0.0
 5.30280004 38.70   22.0     0.0
 5.38239999 39.80   21.1     0.0
 5.42200003 39.78   20.4     0.0
 5.54120002 42.03   20.6     0.0
 5.58100000 44.88   21.9     0.0
 5.62060004 44.28   21.5     0.0
 5.70000000 42.10   21.5     0.0
 5.73980003 44.50   26.8     0.0
 5.81920000 42.24   21.3     0.0
 5.85900002 45.66   20.6     0.0
 5.93840003 43.36   13.5     0.0
 5.93840003 43.93   22.0     0.0
 5.97800003 41.03   15.7     0.0
 5.97800003 42.83   20.1     0.0
 6.01780000 41.42   16.4     0.0
 6.01780000 44.41   22.6     0.0
 6.05760003 43.01   14.6     0.0
 6.05760003 45.54   20.5     0.0
 6.09720002 42.72   15.0     0.0
 6.09720002 44.92   21.7     0.0
 6.13699999 45.28   20.9     0.0
 6.17660003 45.52   21.5     0.0
 6.21640001 44.35   20.6     0.0
 6.25620003 43.22   21.8     0.0
 6.29580002 45.59   21.3     0.0
 6.33560000 45.85   21.3     0.0
 6.37520004 44.84   22.2     0.0
 6.41500001 45.56   21.8     0.0
 6.45480004 46.09   22.0     0.0
 6.49440003 46.19   22.8     0.0
 6.53420000 45.27   23.5     0.0
 6.57380000 46.45   23.6     0.0
 6.61360002 45.46   22.8     0.0
 6.65340000 45.79   22.9     0.0
 6.69300003 44.88   23.1     0.0
 6.73280001 45.09   23.3     0.0
 6.77240000 46.45   23.6     0.0
 6.81220003 46.31   24.0     0.0
 6.85200000 46.30   23.6     0.0
 6.89159999 47.18   24.2     0.0
 6.93140002 46.72   24.8     0.0
 6.97100001 47.73   23.9     0.0
 7.01080003 47.77   22.8     0.0
 7.05060001 48.69   22.8     0.0
 7.05060001 47.79   23.4     0.0
 7.09020000 48.26   23.4     0.0
 7.13000002 48.16   27.3     0.0
 7.13000002 46.00   17.5     0.0
 7.16960001 48.24   27.0     0.0
 7.16960001 48.70   24.0     0.0
 7.16960001 47.19   24.2     0.0
 7.16960001 45.37   23.0     0.0
 7.24900003 47.43   22.7     0.0
 7.24900003 49.29   26.0     0.0
 7.24900003 49.11   26.0     0.0
 7.24900003 46.37   25.5     0.0
 7.28880001 48.62   22.3     0.0
 7.28880001 48.45   28.5     0.0
 7.28880001 48.94   23.1     0.0
 7.36820002 47.20   25.2     0.0
 7.36820002 47.95   26.1     0.0
 7.40800000 48.55   22.3     0.0
 7.48740001 46.54   24.4     0.0
 7.52720004 46.68   23.9     0.0
 7.56680003 48.29   22.4     0.0
 7.56680003 51.50   33.0     0.0
 7.56680003 47.13   23.3     0.0
 7.60660000 47.15   23.0     0.0
 7.68600002 50.56   28.5     0.0
 7.68600002 46.94   24.8     0.0
 7.68600002 49.69   30.4     0.0
 7.68600002 47.06   25.5     0.0
 7.72579999 46.96   25.6     0.0
 7.72579999 45.36   28.5     0.0
 7.72579999 47.73   26.9     0.0
 7.72579999 46.67   23.7     0.0
 7.76540003 47.04   23.6     0.0
 7.76540003 47.63   26.0     0.0
 7.76540003 46.92   26.1     0.0
 7.76540003 46.58   23.9     0.0
 7.76540003 46.50   23.8     0.0
 7.80520001 45.64   24.1     0.0
 7.80520001 45.81   22.9     0.0
 7.80520001 48.44   23.9     0.0
 7.80520001 45.93   23.7     0.0
 7.80520001 46.15   23.8     0.0
 7.80520001 47.11   24.2     0.0
 7.84480000 43.72   20.5     0.0
 7.84480000 46.26   23.7     0.0
 7.84480000 46.05   24.5     0.0
 7.84480000 46.18   24.4     0.0
 7.88460002 46.20   24.6     0.0
 7.88460002 46.71   24.1     0.0
 7.88460002 46.67   22.9     0.0
 7.88460002 46.99   24.2     0.0
 7.92440000 43.16   22.2     0.0
 7.92440000 44.52   24.9     0.0
 8.00380001 45.25   17.7     0.0
0 0                       
22                        
