
[strDate]   [strTime]    [Frq_rpu]   [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]       [Cource] [BaseLat] [BaseLon] [TypeSignalName]    [Delay]
08.12.2016 10:26:45.575 12.17459999 12174.39857   0.01  -85.0   15.0  28.0 28.94   17.6     0.0   17.58    0.00    0.00     0.0   17.58    0.00    0.00     0.0   17.58    0.00    0.00   21.8     37605.575      5.50   47.24000   39.71000  "Undefined"           4.01
08.12.2016 10:26:45.775 12.21440001 12214.17342   0.01  -80.6   13.4  28.0 33.72   22.2     0.0   22.19    0.00    0.00     0.0   22.19    0.00    0.00     0.0   22.19    0.00    0.00   17.8     37605.775      5.50   47.24000   39.71000  "Undefined"           4.13
08.12.2016 10:26:45.775 12.21440001 12214.19356   0.01  -79.2   14.8  28.0 30.60   20.1     0.0   20.12    0.00    0.00     0.0   20.12    0.00    0.00     0.0   20.12    0.00    0.00   20.7     37605.775      5.50   47.24000   39.71000  "Undefined"           4.03
08.12.2016 10:26:45.973 12.25400000 12253.77844   0.01  -78.2   19.8  28.0 33.58   22.2     0.0   22.19    0.00    0.00     0.0   22.19    0.00    0.00     0.0   22.19    0.00    0.00   13.0     37605.973      5.50   47.24000   39.71000  "Undefined"           4.11
08.12.2016 10:26:45.973 12.25400000 12253.79355   0.01  -73.3   24.7  28.0 30.75   19.5     0.0   19.48    0.00    0.00     0.0   19.48    0.00    0.00     0.0   19.48    0.00    0.00   18.4     37605.973      5.50   47.24000   39.71000  "Undefined"           4.03
08.12.2016 10:26:46.171 12.29379998 12293.59353   0.01  -75.1   24.9  28.0 30.56   19.5     0.0   19.55    0.00    0.00     0.0   19.55    0.00    0.00     0.0   19.55    0.00    0.00   17.4     37606.171      5.50   47.24000   39.71000  "Undefined"           4.03
08.12.2016 10:26:46.171 12.29379998 12293.57842   0.01  -73.5   26.5  28.0 32.87   22.2     0.0   22.23    0.00    0.00     0.0   22.23    0.00    0.00     0.0   22.23    0.00    0.00   13.4     37606.171      5.50   47.24000   39.71000  "Undefined"           4.11
08.12.2016 10:26:46.371 12.33360000 12333.39355   0.01  -75.5   24.5  28.0 31.18   20.1     0.0   20.10    0.00    0.00     0.0   20.10    0.00    0.00     0.0   20.10    0.00    0.00   15.4     37606.371      5.50   47.24000   39.71000  "Undefined"           4.03
08.12.2016 10:26:46.371 12.33360000 12333.38348   0.01  -73.0   27.0  28.0 32.80   22.4     0.0   22.35    0.00    0.00     0.0   22.35    0.00    0.00     0.0   22.35    0.00    0.00   13.3     37606.371      5.50   47.24000   39.71000  "Undefined"           4.08
08.12.2016 10:26:46.569 12.37319999 12372.98850   0.01  -73.2   22.8  28.0 31.63   20.9     0.0   20.92    0.00    0.00     0.0   20.92    0.00    0.00     0.0   20.92    0.00    0.00   14.3     37606.569      5.50   47.24000   39.71000  "Undefined"           4.06
08.12.2016 10:26:46.767 12.41300002 12412.78853   0.01  -87.7    8.3  28.0 31.96   21.9     0.0   21.93    0.00    0.00     0.0   21.93    0.00    0.00     0.0   21.93    0.00    0.00   11.2     37606.767      5.50   47.24000   39.71000  "Undefined"           4.06
