
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 03:03:44.367   4.99600000   4995.99974   0.38  -40.2   42.8  28.0 33.60  357.8     0.0  357.83    0.00    0.00     0.0  357.83    0.00    0.00     0.0  357.83    0.00    0.00    1.3     11024.367     13.50   47.24000   39.71000  "Undefined"      62.7       -0.26  0.00000000
04.04.2019 03:03:55.283   4.99600000   4995.99972   0.11  -47.8   35.2  28.0 36.60  356.4     0.0  356.41    0.00    0.00     0.0  356.41    0.00    0.00     0.0  356.41    0.00    0.00    1.5     11035.283     13.50   47.24000   39.71000  "Undefined"       0.0       -0.28  0.00000000
04.04.2019 03:04:06.185   4.99600000   4995.99972   0.11  -40.2   42.8  28.0 33.00  357.8     0.0  357.82    0.00    0.00     0.0  357.82    0.00    0.00     0.0  357.82    0.00    0.00    1.2     11046.185     13.50   47.24000   39.71000  "Undefined"       0.0       -0.28  0.00000000
04.04.2019 03:04:16.374   4.99600000   4995.99973   0.11  -43.9   39.1  28.0 21.00  353.5     0.0  353.53    0.00    0.00     0.0  353.53    0.00    0.00     0.0  353.53    0.00    0.00    1.5     11056.374     13.50   47.24000   39.71000  "Undefined"       0.0       -0.27  0.00000000
04.04.2019 03:04:16.374   4.99600000   4995.99973   0.11  -43.9   39.1  28.0 22.80  354.2     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00    1.5     11056.374     13.50   47.24000   39.71000  "Undefined"       0.0       -0.27  0.00000000
04.04.2019 03:04:27.292   4.99600000   4995.99970   0.11  -40.5   42.5  28.0 33.60  357.8     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00    1.2     11067.292     13.50   47.24000   39.71000  "Undefined"       0.0       -0.30  0.00000000
04.04.2019 03:04:38.212   4.99600000   4995.99971   0.11  -42.2   40.9  28.0 25.20  355.7     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00    1.6     11078.212     13.50   47.24000   39.71000  "Undefined"       0.0       -0.29  0.00000000
04.04.2019 03:04:38.212   4.99600000   4995.99971   0.11  -42.2   40.9  28.0 17.40  354.2     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00    1.5     11078.212     13.50   47.24000   39.71000  "Undefined"       0.0       -0.29  0.00000000
04.04.2019 03:04:38.212   4.99600000   4995.99971   0.11  -42.2   40.9  28.0 15.00  353.5   795.8  353.62   54.35   38.35  1593.7  353.75   61.45   36.48  2384.9  353.96   68.47   33.69    1.5     11078.212     13.50   47.24000   39.71000  "Undefined"       0.0       -0.29  0.00000000
04.04.2019 03:04:48.413   4.99600000   4995.99972   0.46  -38.4   42.5  28.0 32.40  357.1     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00    1.2     11088.413     13.50   47.24000   39.71000  "Undefined"      65.6       -0.28  0.00000000
04.04.2019 03:04:59.318   4.99600000   4995.99971   0.11  -51.8   31.2  28.0 40.80  356.4     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00    1.7     11099.318     13.50   47.24000   39.71000  "Undefined"       0.0       -0.29  0.00000000
04.04.2019 03:05:10.299   4.99600000   4995.99973   0.11  -40.6   42.4  28.0 31.80  358.6     0.0  358.56    0.00    0.00     0.0  358.56    0.00    0.00     0.0  358.56    0.00    0.00    1.3     11110.299     13.50   47.24000   39.71000  "Undefined"       0.0       -0.27  0.00000000
04.04.2019 03:05:20.493   4.99600000   4995.99974   0.11  -40.6   42.4  28.0 31.80  357.1     0.0  357.10    0.00    0.00     0.0  357.10    0.00    0.00     0.0  357.10    0.00    0.00    1.2     11120.493     13.50   47.24000   39.71000  "Undefined"       0.0       -0.26  0.00000000
04.04.2019 03:05:32.487   4.99600000   4995.99968   0.11  -49.3   33.7  28.0 39.00  357.1     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00    1.8     11132.487     13.50   47.24000   39.71000  "Undefined"       0.0       -0.32  0.00000000
04.04.2019 03:05:43.397   4.99600000   4995.99974   0.24  -39.5   40.1  28.0 33.00  357.1     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00    1.3     11143.397     13.50   47.24000   39.71000  "Undefined"       0.0       -0.26  0.00000000
04.04.2019 03:05:55.369   4.99600000   4995.99974   0.27  -38.4   42.6  28.0 33.00  357.1     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00    1.2     11155.369     13.50   47.24000   39.71000  "Undefined"      62.1       -0.26  0.00000000
04.04.2019 03:06:07.378   4.99600000   4995.99973   0.11  -42.1   40.9  28.0 33.60  356.4     0.0  356.41    0.00    0.00     0.0  356.41    0.00    0.00     0.0  356.41    0.00    0.00    1.5     11167.378     13.50   47.24000   39.71000  "Undefined"       0.0       -0.27  0.00000000
04.04.2019 03:06:19.417   4.99600000   4995.99974   0.11  -45.1   37.9  28.0 37.80  355.7     0.0  355.67    0.00    0.00     0.0  355.67    0.00    0.00     0.0  355.67    0.00    0.00    1.5     11179.417     13.50   47.24000   39.71000  "Undefined"       0.0       -0.26  0.00000000
04.04.2019 03:06:31.392   4.99600000   4995.99977   0.11  -46.9   36.1  28.0 40.20  355.0     0.0  354.95    0.00    0.00     0.0  354.95    0.00    0.00     0.0  354.95    0.00    0.00    1.5     11191.392     13.50   47.24000   39.71000  "Undefined"       0.0       -0.23  0.00000000
04.04.2019 03:06:42.334   4.99600000   4995.99971   0.11  -49.3   33.7  28.0 43.80  353.5     0.0  353.52    0.00    0.00     0.0  353.52    0.00    0.00     0.0  353.52    0.00    0.00    1.9     11202.334     13.50   47.24000   39.71000  "Undefined"       0.0       -0.29  0.00000000
04.04.2019 03:07:07.380   4.99600000   4995.99976   0.11  -43.0   40.0  28.0 32.40  357.1     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00    1.7     11227.380     13.50   47.24000   39.71000  "Undefined"       0.0       -0.24  0.00000000
04.04.2019 03:07:20.515   4.99600000   4995.99972   0.55  -38.7   42.3  28.0 32.40  357.1     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00     0.0  357.13    0.00    0.00    1.2     11240.515     13.50   47.24000   39.71000  "Undefined"      66.6       -0.28  0.00000000
04.04.2019 03:07:31.437   4.99600000   4995.99972   0.27  -38.6   40.6  28.0 30.60  357.1     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00    1.3     11251.437     13.50   47.24000   39.71000  "Undefined"       0.0       -0.28  0.00000000
04.04.2019 03:07:41.294   4.99600000   4995.99971   0.29  -40.5   42.5  28.0 29.40  357.1     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00    1.5     11261.294     13.50   47.24000   39.71000  "Undefined"      62.3       -0.29  0.00000000
04.04.2019 03:08:04.948   4.99600000   4995.99967   0.07  -81.6    3.6  28.0 29.40  356.4     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00    1.6     11284.948     13.50   47.24000   39.71000  "Undefined"       0.0       -0.33  0.00000000
