
h0=  50.0 hm= 358.6
314.98    5.358  -6.00192  17.56337  -0.15809  104.240   37.670
318.10    5.312  -5.90639  17.02710  -0.16124  104.240   37.670
321.21    5.264  -5.80685  16.49647  -0.16407  104.240   37.670
324.33    5.215  -5.70441  15.97121  -0.16632  104.240   37.670
327.45    5.164  -5.59965  15.45483  -0.16823  104.240   37.670
330.56    5.113  -5.49194  14.94596  -0.16971  104.240   37.670
333.68    5.061  -5.38190  14.44661  -0.17086  104.240   37.670
336.80    5.008  -5.27049  13.95820  -0.17154  104.240   37.670
339.92    4.954  -5.15841  13.48098  -0.17194  104.240   37.670
343.03    4.900  -5.04397  13.01481  -0.17196  104.240   37.670
346.15    4.845  -4.92958  12.56071  -0.17166  104.240   37.670
349.27    4.789  -4.81492  12.11997  -0.17106  104.240   37.670
352.39    4.734  -4.70013  11.69161  -0.17019  104.240   37.670
355.50    4.677  -4.58505  11.27716  -0.16902  104.240   37.670
358.62    4.621  -4.47059  10.87518  -0.16763  104.240   37.670
