
delt0=       1  eps=   1e-05  ep=   1e-06  ep1=   0.001
Geomagnetic Field - const
fh= 1.34  i=  65.2  d=   6.8
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.000   200.0  20.0 -45.0   45.0   0.000
delta=-0.000  r0= 200.0  lon=  39.000 lat=  55.000
Beta=  20.0  Alfa=   0.0 aX=  20.0 aY= 100.0 aZ=  20.0


Number diff. equation: 6

+==============================================================================+
|   Medium characteristics Sunspot number= 141.6 IG= 123.6   GMT time:14:00    |
|------------------------------------------------------------------------------|
|   S   | fh |  I  |   D  | fd |  hd | fe |  he | ff1 | hf1 | ff2 | hf2 |   Hi |
|-------+----+-----+------+----+-----+----+-----+-----+-----+-----+-----+------|
|    0.0|1.25| 58.8|   3.1|0.18| 82.5|1.72|110.0| 0.00|  0.0| 8.88|280.4|  88.0|
+==============================================================================+

+==================================+
|       Es-layer parametres        |
|----------------------------------|
|   S   | hEs | fbEs | f0Es | P Es |
|-------+-----+------+------+------|
|    0.0|109.6| 2.17 | 2.65 | 63.6 |
+==================================+

|  0|13.60|50403.4|  1|32.08|35.04|  27.156|  41.000|  957.182| -73.8|  -0.4| 1202.1| 0.000|   0.0|  33.321|  41.617|246.93|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|35.04|35.88|  16.151|  40.766| 1757.605| -74.1|  -0.7| 2226.0| 0.000|   0.0|  21.551|  40.720|235.07|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|35.88|36.31|   5.895|  41.578| 2512.992| -74.5|  -1.1| 3198.6| 0.000|   0.0|  10.869|  41.041|231.72|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|50403.4|  1|32.92|35.97|  26.858|  41.945|  972.693| -80.2|  -0.5| 1236.2| 0.000|   0.0|  32.955|  42.087|251.20|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|35.97|36.78|  16.292|  42.511| 1763.985| -80.5|  -0.8| 2260.8| 0.000|   0.0|  21.437|  42.080|239.03|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|36.78|37.10|   6.665|  44.008| 2515.490| -80.9|  -1.2| 3239.8| 0.000|   0.0|  11.351|  43.140|236.41|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|50403.4|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|50403.4|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|50403.4|  1|32.61|35.90|  26.800|  40.536|  989.894| -71.0|  -0.3| 1255.7| 0.000|   0.0|  32.899|  41.330|250.69|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|35.90|36.79|  15.777|  39.968| 1783.567| -71.2|  -0.5| 2282.8| 0.000|   0.0|  21.257|  40.091|237.07|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|36.79|37.31|   5.474|  40.453| 2524.373| -71.5|  -0.8| 3248.7| 0.000|   0.0|  10.582|  40.073|233.16|   0.0|    0.0|    0.0|F2F2F2          |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|  0|13.60|50403.4|  1|30.80|33.58|  27.456|  40.521|  943.466| -70.4|  -0.4| 1164.4| 0.000|   0.0|  33.483|  41.372|240.83|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|33.58|34.37|  16.107|  39.841| 1760.256| -70.8|  -0.8| 2189.6| 0.000|   0.0|  21.765|  40.013|230.42|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|34.37|34.85|   5.303|  40.296| 2534.350| -71.0|  -1.0| 3167.3| 0.000|   0.0|  10.675|  39.922|227.39|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|50403.4|  1|30.04|32.63|  27.433|  40.854|  939.257| -72.7|  -0.5| 1147.3| 0.000|   0.0|  33.471|  41.545|237.43|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|32.63|33.37|  16.006|  40.472| 1767.274| -73.1|  -0.9| 2174.5| 0.000|   0.0|  21.714|  40.494|228.23|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|33.37|33.79|   5.171|  41.234| 2558.987| -73.4|  -1.2| 3162.2| 0.000|   0.0|  10.438|  40.710|225.60|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|50445.9|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|50445.9|  1|32.72|36.01|  26.675|  40.984|  992.172| -73.9|  -0.3| 1260.5| 0.000|   0.0|  32.988|  41.588|251.73|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|36.01|36.90|  15.787|  40.796| 1784.174| -74.2|  -0.6| 2287.1| 0.000|   0.0|  21.119|  40.730|237.91|   0.0|    0.0|    0.0|F2F2            |
