
delt0=       1  eps=   1e-05  ep=   1e-06  ep1=   0.001
Geomagnetic Field - const
fh= 1.34  i=  65.2  d=   6.8
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.000   200.0  20.0 -45.0   45.0   0.000
delta=-0.000  r0= 200.0  lon=  39.000 lat=  55.000
Beta=  20.0  Alfa=   0.0 aX=  20.0 aY= 100.0 aZ=  20.0


Number diff. equation: 6

+==============================================================================+
|   Medium characteristics Sunspot number= 139.8 IG= 122.8   GMT time:15:00    |
|------------------------------------------------------------------------------|
|   S   | fh |  I  |   D  | fd |  hd | fe |  he | ff1 | hf1 | ff2 | hf2 |   Hi |
|-------+----+-----+------+----+-----+----+-----+-----+-----+-----+-----+------|
|    0.0|1.25| 58.8|   3.1|0.18| 84.0|0.77|110.0| 0.00|  0.0| 8.00|290.2|  98.0|
+==============================================================================+

+==================================+
|       Es-layer parametres        |
|----------------------------------|
|   S   | hEs | fbEs | f0Es | P Es |
|-------+-----+------+------+------|
|    0.0|110.4| 1.99 | 2.50 | 62.9 |
+==================================+

+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
|  0|13.60|54084.3|  1|17.77|20.26|  23.197|  45.912| 1335.678| -99.3|  -0.5| 1468.6| 0.000|   0.0|  30.883|  44.035|236.26|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|20.26|22.33|  10.469|  50.611| 2511.941| -99.7|  -0.9| 2779.1| 0.000|   0.0|  16.389|  48.145|223.89|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|22.33|24.26|   0.238|  56.086| 3607.662| -99.8|  -1.0| 4016.9| 0.000|   0.0|   5.015|  53.328|215.68|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54116.2|  1| 0.00| 7.67|   3.187|  39.637| 2675.287| -69.0|  -0.2| 2751.4| 0.000|   0.0|  17.786|  39.378|185.88|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54116.2|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|54116.2|  1|12.13|15.34|  18.844|  44.307| 1609.947| -88.6|  -0.5| 1716.8| 0.000|   0.0|  28.445|  43.031|220.91|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|15.34|17.34|   2.567|  48.670| 3006.023| -88.9|  -0.8| 3222.7| 0.000|   0.0|  10.031|  46.283|207.91|   0.0|    0.0|    0.0|F2F2            |
|  0|13.60|54116.2|  1|18.70|22.42|  22.828|  41.243| 1271.077| -76.3|  -0.5| 1411.9| 0.000|   0.0|  30.781|  41.560|234.59|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|22.42|23.96|   8.336|  42.160| 2346.000| -76.8|  -1.0| 2625.4| 0.000|   0.0|  15.359|  41.447|218.52|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|23.96|24.65|  -4.575|  44.747| 3372.722| -77.2|  -1.4| 3794.0| 0.000|   0.0|   1.679|  43.261|214.96|   0.0|    0.0|    0.0|F2F2F2          |
