  9.99 14.32 1602.31   94.84 F2              
  9.99 15.68 2832.62   94.77 F2F2            
  9.99 15.53 4021.08   94.81 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 15.68 2832.62   94.77 F2F2            
  0.00 15.53 4021.08   94.81 F2F2F2          
 17.95 22.19 1245.44   95.53 F2              
 17.95 24.32 2236.19   95.32 F2F2            
 17.95 24.80 3153.60   95.29 F2F2F2          
 11.05 15.32 1537.47   94.51 F2              
 11.05 16.82 2725.75   94.44 F2F2            
 11.05 16.75 3861.96   94.47 F2F2F2          
 12.40 16.61 1463.14   94.38 F2              
 12.40 18.27 2604.06   94.28 F2F2            
 12.40 18.31 3683.78   94.31 F2F2F2          
 12.57 16.77 1454.39   94.48 F2              
 12.57 18.45 2589.82   94.38 F2F2            
 12.57 18.50 3663.49   94.40 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 18.45 2589.82   94.38 F2F2            
  0.00 18.50 3663.49   94.40 F2F2F2          
 18.48 22.71 1233.98   93.39 F2              
 18.48 24.95 2215.08   93.14 F2F2            
 18.48 25.55 3117.35   93.08 F2F2F2          
 23.59 28.63 1218.69   88.79 F2              
 23.59 31.35 2140.66   88.25 F2F2            
 23.59 32.40 2973.30   87.97 F2F2F2          
 15.20 19.35 1338.06   93.50 F2              
 15.20 21.31 2394.87   93.34 F2F2            
 15.20 21.63 3377.90   93.33 F2F2F2          
 15.32 19.48 1328.08   96.93 F2              
 15.32 21.32 2381.98   96.80 F2F2            
 15.32 21.52 3372.96   96.81 F2F2F2          
  7.79 12.32 1759.83   93.57 F2              
  7.79 13.39 3078.68   93.53 F2F2            
  7.79  0.00    0.00    0.00                 
 22.78 27.55 1183.26   92.65 F2              
 22.78 30.11 2102.01   92.24 F2F2            
 22.78 30.97 2938.92   92.06 F2F2F2          
  0.51  6.57 2512.26   94.86 F2              
  0.51  6.85 4323.95   94.84 F2F2            
  0.51  0.00    0.00    0.00                 
 15.16 19.31 1336.89   94.72 F2              
 15.16 21.21 2394.71   94.57 F2F2            
 15.16 21.47 3383.28   94.57 F2F2F2          
 11.84 16.05 1489.71   95.00 F2              
 11.84 17.60 2650.31   94.92 F2F2            
 11.84 17.56 3757.38   94.95 F2F2F2          
  8.22 12.69 1725.26   93.67 F2              
  8.22 13.81 3026.19   93.62 F2F2            
  8.22  0.00    0.00    0.00                 
 21.42 25.90 1180.44   92.95 F2              
 21.42 28.35 2112.92   92.60 F2F2            
 21.42 29.14 2965.04   92.47 F2F2F2          
 11.51 15.73 1507.85   94.71 F2              
 11.51 17.25 2679.65   94.63 F2F2            
 11.51 17.19 3799.27   94.66 F2F2F2          
 17.11 21.29 1262.20   98.30 F2              
 17.11 23.22 2270.46   98.14 F2F2            
 17.11 23.50 3215.98   98.14 F2F2F2          
 23.33 28.28 1181.36   95.46 F2              
 23.33 30.76 2091.45   95.07 F2F2            
 23.33 31.50 2925.33   94.93 F2F2F2          
 14.64 18.77 1358.08   93.52 F2              
 14.64 20.66 2429.84   93.38 F2F2            
 14.64 20.91 3430.51   93.38 F2F2F2          
 10.31 14.58 1577.96   95.04 F2              
 10.31 15.94 2796.00   94.98 F2F2            
 10.31 15.78 3973.61   95.02 F2F2F2          
  8.30 12.74 1717.52   94.27 F2              
  8.30 13.83 3017.47   94.23 F2F2            
  8.30  0.00    0.00    0.00                 
 12.49 16.66 1454.55   94.79 F2              
 12.49 18.28 2592.77   94.70 F2F2            
 12.49 18.29 3673.47   94.72 F2F2F2          
 16.29 20.40 1299.02   91.05 F2              
 16.29 22.51 2328.69   90.84 F2F2            
 16.29 23.01 3276.96   90.80 F2F2F2          
 11.32 15.52 1514.62   97.23 F2              
 11.32 16.91 2697.81   97.17 F2F2            
